diag_3,diag_4,morb,wmorbs
I21,,1,5
I22,,1,5
I23,,1,5
G46,,2,11
I60,,2,11
I61,,2,11
I62,,2,11
I63,,2,11
I64,,2,11
I65,,2,11
I66,,2,11
I67,,2,11
I68,,2,11
I69,,2,11
,I252,2,11
,I258,2,11
,G450,2,11
,G451,2,11
,G452,2,11
,G454,2,11
,G458,2,11
,G459,2,11
I50,,3,13
M05,,4,4
M32,,4,4
M34,,4,4
,M060,4,4
,M063,4,4
,M069,4,4
,M332,4,4
,M353,4,4
F00,,5,14
F01,,5,14
F02,,5,14
F03,,5,14
,F051,5,14
,E101,6,3
,E105,6,3
,E106,6,3
,E108,6,3
,E109,6,3
,E111,6,3
,E115,6,3
,E116,6,3
,E118,6,3
,E119,6,3
,E136,6,3
,E138,6,3
,E139,6,3
,E141,6,3
,E145,6,3
,E146,6,3
,E148,6,3
,E149,6,3
K73,,7,8
K74,,7,8
,K702,7,8
,K703,7,8
,K717,7,8
K25,,8,9
K26,,8,9
K27,,8,9
K28,,8,9
I71,,9,6
R02,,9,6
,I739,9,6
,I790,9,6
,Z958,9,6
,Z959,9,6
J40,,10,4
J41,,10,4
J42,,10,4
J43,,10,4
J44,,10,4
J45,,10,4
J46,,10,4
J47,,10,4
J60,,10,4
J61,,10,4
J62,,10,4
J63,,10,4
J64,,10,4
J65,,10,4
J66,,10,4
J67,,10,4
C00,,11,8
C01,,11,8
C02,,11,8
C03,,11,8
C04,,11,8
C05,,11,8
C06,,11,8
C07,,11,8
C08,,11,8
C09,,11,8
C10,,11,8
C11,,11,8
C12,,11,8
C13,,11,8
C14,,11,8
C15,,11,8
C16,,11,8
C17,,11,8
C18,,11,8
C19,,11,8
C20,,11,8
C21,,11,8
C22,,11,8
C23,,11,8
C24,,11,8
C25,,11,8
C26,,11,8
C27,,11,8
C28,,11,8
C29,,11,8
C30,,11,8
C31,,11,8
C32,,11,8
C33,,11,8
C34,,11,8
C35,,11,8
C36,,11,8
C37,,11,8
C38,,11,8
C39,,11,8
C40,,11,8
C41,,11,8
C42,,11,8
C43,,11,8
C44,,11,8
C45,,11,8
C46,,11,8
C47,,11,8
C48,,11,8
C49,,11,8
C50,,11,8
C51,,11,8
C52,,11,8
C53,,11,8
C54,,11,8
C55,,11,8
C56,,11,8
C57,,11,8
C58,,11,8
C59,,11,8
C60,,11,8
C61,,11,8
C62,,11,8
C63,,11,8
C64,,11,8
C65,,11,8
C66,,11,8
C67,,11,8
C68,,11,8
C69,,11,8
C70,,11,8
C71,,11,8
C72,,11,8
C73,,11,8
C74,,11,8
C75,,11,8
C76,,11,8
C80,,11,8
C81,,11,8
C82,,11,8
C83,,11,8
C84,,11,8
C85,,11,8
C86,,11,8
C87,,11,8
C88,,11,8
C89,,11,8
C90,,11,8
C91,,11,8
C92,,11,8
C93,,11,8
C94,,11,8
C95,,11,8
C96,,11,8
C97,,11,8
,E102,12,-1
,E103,12,-1
,E104,12,-1
,E107,12,-1
,E112,12,-1
,E113,12,-1
,E114,12,-1
,E117,12,-1
,E132,12,-1
,E133,12,-1
,E134,12,-1
,E137,12,-1
,E142,12,-1
,E143,12,-1
,E144,12,-1
,E147,12,-1
G81,,13,1
,G041,13,1
,G820,13,1
,G821,13,1
,G822,13,1
I12,,14,10
I13,,14,10
N01,,14,10
N03,,14,10
N18,,14,10
N19,,14,10
N25,,14,10
,N052,14,10
,N053,14,10
,N054,14,10
,N055,14,10
,N056,14,10
,N072,14,10
,N073,14,10
,N074,14,10
C77,,15,14
C78,,15,14
C79,,15,14
C80,,15,14
,K721,16,18
,K729,16,18
,K766,16,18
,K767,16,18
B20,,17,2
B21,,17,2
B22,,17,2
B23,,17,2
B24,,17,2
,0987,17,2
,,0,0
