diag1_4,DIAGNOSIS_GROUP,label
A000,83,Intestinal infection
A001,83,Intestinal infection
A009,83,Intestinal infection
A010,83,Intestinal infection
A011,83,Intestinal infection
A012,83,Intestinal infection
A013,83,Intestinal infection
A014,83,Intestinal infection
A020,83,Intestinal infection
A021,2,"Septicaemia (except in labour), Shock"
A022,83,Intestinal infection
A028,83,Intestinal infection
A029,83,Intestinal infection
A030,83,Intestinal infection
A031,83,Intestinal infection
A032,83,Intestinal infection
A033,83,Intestinal infection
A038,83,Intestinal infection
A039,83,Intestinal infection
A040,83,Intestinal infection
A041,83,Intestinal infection
A042,83,Intestinal infection
A043,83,Intestinal infection
A044,83,Intestinal infection
A045,83,Intestinal infection
A046,83,Intestinal infection
A047,83,Intestinal infection
A048,83,Intestinal infection
A049,83,Intestinal infection
A050,83,Intestinal infection
A051,83,Intestinal infection
A052,83,Intestinal infection
A053,83,Intestinal infection
A054,83,Intestinal infection
A058,83,Intestinal infection
A059,83,Intestinal infection
A060,83,Intestinal infection
A061,83,Intestinal infection
A062,83,Intestinal infection
A063,83,Intestinal infection
A064,94,Other liver diseases
A065,81,"Cystic fibrosis, Other lower respiratory disease"
A066,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A067,107,Skin and subcutaneous tissue infections
A068,83,Intestinal infection
A069,83,Intestinal infection
A070,83,Intestinal infection
A071,83,Intestinal infection
A072,83,Intestinal infection
A073,83,Intestinal infection
A078,83,Intestinal infection
A079,83,Intestinal infection
A080,83,Intestinal infection
A081,83,Intestinal infection
A082,83,Intestinal infection
A083,83,Intestinal infection
A084,83,Intestinal infection
A085,83,Intestinal infection
A090,83,Intestinal infection
A099,83,Intestinal infection
A09X,83,Intestinal infection
A150,1,Tuberculosis
A151,1,Tuberculosis
A152,1,Tuberculosis
A153,1,Tuberculosis
A154,1,Tuberculosis
A155,1,Tuberculosis
A156,1,Tuberculosis
A157,1,Tuberculosis
A158,1,Tuberculosis
A159,1,Tuberculosis
A160,1,Tuberculosis
A161,1,Tuberculosis
A162,1,Tuberculosis
A163,1,Tuberculosis
A164,1,Tuberculosis
A165,1,Tuberculosis
A167,1,Tuberculosis
A168,1,Tuberculosis
A169,1,Tuberculosis
A170,1,Tuberculosis
A171,1,Tuberculosis
A178,1,Tuberculosis
A179,1,Tuberculosis
A180,1,Tuberculosis
A181,1,Tuberculosis
A182,1,Tuberculosis
A183,1,Tuberculosis
A184,1,Tuberculosis
A185,1,Tuberculosis
A186,1,Tuberculosis
A187,1,Tuberculosis
A188,1,Tuberculosis
A190,1,Tuberculosis
A191,1,Tuberculosis
A192,1,Tuberculosis
A198,1,Tuberculosis
A199,1,Tuberculosis
A200,3,Bacterial infection; unspecified site
A201,107,Skin and subcutaneous tissue infections
A202,73,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
A203,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A207,2,"Septicaemia (except in labour), Shock"
A208,3,Bacterial infection; unspecified site
A209,3,Bacterial infection; unspecified site
A210,107,Skin and subcutaneous tissue infections
A211,52,"Headache; including migraine, Cataract, Retinal detachments; defects; vascular occlusion; and retinopathy, Glaucoma, Blindness and vision defects, Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease), Other eye disorders, Otitis media and related conditions, Conditions associated with dizziness or vertigo, Other ear and sense organ disorders"
A212,73,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
A213,83,Intestinal infection
A217,3,Bacterial infection; unspecified site
A218,3,Bacterial infection; unspecified site
A219,3,Bacterial infection; unspecified site
A220,107,Skin and subcutaneous tissue infections
A221,73,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
A222,83,Intestinal infection
A227,2,"Septicaemia (except in labour), Shock"
A228,3,Bacterial infection; unspecified site
A229,3,Bacterial infection; unspecified site
A230,3,Bacterial infection; unspecified site
A231,3,Bacterial infection; unspecified site
A232,3,Bacterial infection; unspecified site
A233,3,Bacterial infection; unspecified site
A238,3,Bacterial infection; unspecified site
A239,3,Bacterial infection; unspecified site
A240,3,Bacterial infection; unspecified site
A241,3,Bacterial infection; unspecified site
A242,3,Bacterial infection; unspecified site
A243,3,Bacterial infection; unspecified site
A244,3,Bacterial infection; unspecified site
A250,3,Bacterial infection; unspecified site
A251,109,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
A259,3,Bacterial infection; unspecified site
A260,107,Skin and subcutaneous tissue infections
A267,2,"Septicaemia (except in labour), Shock"
A268,3,Bacterial infection; unspecified site
A269,3,Bacterial infection; unspecified site
A270,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A278,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
